"last_name, first_name","player_id","year","ab","walk","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","xwoba"
"Hoerner, Nico","663538","2024","582","44","12","1","3",".313",".313"
"Guerrero Jr., Vladimir","665489","2024","616","72","5","12","4",".398",".408"
"Witt Jr., Bobby","677951","2024","636","57","8","9","8",".410",".407"
"Ramírez, José","608070","2024","620","54","1","12","6",".364",".329"
"Semien, Marcus","543760","2024","650","64","3","2","1",".306",".313"
"Gelof, Zack","680869","2024","497","38","4","0","5",".276",".271"
"Cowser, Colton","681297","2024","499","52","7","2","3",".331",".326"
"Stephenson, Tyler","663886","2024","457","48","8","2","2",".339",".322"
"Ramos, Heliot","671218","2024","475","37","2","2","4",".339",".338"
"Meyers, Jake","676694","2024","461","35","10","0","4",".285",".304"
"Sánchez, Jesús","660821","2024","489","41","4","2","2",".317",".343"
"Suzuki, Seiya","673548","2024","512","63","6","3","4",".365",".346"
"Greene, Riley","682985","2024","512","64","5","3","2",".355",".353"
"Cruz, Oneil","665833","2024","541","51","3","5","4",".331",".340"
"Mountcastle, Ryan","663624","2024","473","27","1","0","6",".316",".332"
"France, Ty","664034","2024","479","38","13","0","5",".296",".303"
"Rodgers, Brendan","663898","2024","501","31","4","1","2",".314",".295"
"Taveras, Leody","665750","2024","480","42","0","0","4",".282",".295"
"Seager, Corey","608369","2024","475","53","3","11","2",".365",".390"
"Morel, Christopher","666624","2024","535","61","10","3","5",".280",".316"
"Benintendi, Andrew","643217","2024","477","41","1","1","3",".298",".303"
"McMahon, Ryan","641857","2024","567","69","3","4","4",".315",".325"
"Burger, Jake","669394","2024","535","31","9","2","4",".325",".338"
"Betts, Mookie","605141","2024","450","61","1","2","4",".371",".356"
"Hernández, Teoscar","606192","2024","589","53","8","3","1",".360",".346"
"Happ, Ian","664023","2024","569","80","6","1","2",".341",".345"
"De La Cruz, Elly","682829","2024","618","69","6","2","1",".349",".328"
"Suárez, Eugenio","553993","2024","571","49","9","0","11",".337",".330"
"Neto, Zach","687263","2024","542","39","16","1","1",".330",".317"
"Keith, Colt","690993","2024","516","36","2","2","2",".301",".311"
"García, Adolis","666969","2024","580","45","6","2","6",".296",".306"
"Chisholm Jr., Jazz","665862","2024","562","53","4","5","2",".327",".316"
"Rodríguez, Julio","677594","2024","567","38","6","1","2",".321",".344"
"Harper, Bryce","547180","2024","550","76","2","11","2",".380",".357"
"García, Luis","671277","2024","500","27","0","2","1",".328",".331"
"Nimmo, Brandon","607043","2024","571","77","12","1","3",".321",".335"
"Abrams, CJ","682928","2024","541","40","16","3","4",".322",".319"
"Bell, Josh","605137","2024","538","51","6","1","3",".317",".310"
"Stott, Bryson","681082","2024","506","53","3","1","9",".296",".306"
"Santana, Carlos","467793","2024","521","65","6","3","2",".326",".330"
"Ward, Taylor","621493","2024","585","63","7","0","8",".325",".344"
"Arcia, Orlando","606115","2024","551","41","2","1","7",".273",".261"
"Kwan, Steven","680757","2024","480","53","5","0","0",".349",".333"
"Bellinger, Cody","641355","2024","516","45","3","7","5",".322",".301"
"Pasquantino, Vinnie","686469","2024","496","40","4","1","13",".325",".331"
"Adames, Willy","642715","2024","610","74","1","3","3",".342",".339"
"Ozuna, Marcell","542303","2024","606","74","3","2","4",".395",".402"
"Bleday, JJ","668709","2024","572","67","2","2","0",".330",".319"
"Freeman, Freddie","518692","2024","542","78","10","9","8",".365",".367"
"Merrill, Jackson","701538","2024","554","29","1","1","5",".352",".372"
"Cronenworth, Jake","630105","2024","577","61","11","0","3",".315",".335"
"Perez, Salvador","521692","2024","590","44","11","9","6",".335",".360"
"Reynolds, Bryan","668804","2024","622","57","10","3","3",".343",".350"
"Castellanos, Nick","592206","2024","606","41","10","2","2",".321",".333"
"Santander, Anthony","623993","2024","595","58","7","3","5",".345",".324"
"Carroll, Corbin","682998","2024","589","73","10","0","9",".325",".324"
"Machado, Manny","592518","2024","593","45","1","6","4",".340",".338"
"Profar, Jurickson","595777","2024","564","76","18","4","5",".365",".364"
"Bohm, Alec","664761","2024","554","40","6","2","6",".335",".342"
"Henderson, Gunnar","683002","2024","630","78","7","1","4",".381",".374"
"Verdugo, Alex","657077","2024","559","49","1","0","10",".283",".302"
"Ohtani, Shohei","660271","2024","636","81","6","10","5",".431",".442"
"Diaz, Yainer","673237","2024","585","24","2","1","8",".329",".339"
"Volpe, Anthony","683011","2024","637","42","4","1","3",".287",".278"
"Winn, Masyn","691026","2024","587","41","1","1","5",".315",".293"
"Arenado, Nolan","571448","2024","578","44","5","2","7",".314",".296"
"Lindor, Francisco","596019","2024","618","56","12","0","3",".363",".379"
"Giménez, Andrés","665926","2024","583","26","15","1","6",".281",".296"
"Altuve, Jose","514888","2024","628","47","7","2","0",".344",".316"
"Donovan, Brendan","680977","2024","587","47","13","0","5",".332",".335"
"Duran, Jarren","680776","2024","671","54","6","1","3",".357",".342"
"Hoskins, Rhys","656555","2024","449","53","7","1","6",".313",".301"
"McCutchen, Andrew","457705","2024","448","58","7","1","2",".325",".327"
"Varsho, Daulton","662139","2024","459","48","4","1","1",".304",".261"
"O'Hoppe, Logan","681351","2024","479","33","8","0","1",".311",".331"
"Winker, Jesse","608385","2024","430","63","10","2","3",".338",".329"
"Busch, Michael","683737","2024","496","63","4","1","4",".336",".319"
"Thomas, Lane","657041","2024","472","44","7","1","5",".309",".307"
"Langeliers, Shea","669127","2024","482","41","5","2","6",".315",".328"
"Ortiz, Joey","687401","2024","440","56","6","0","6",".319",".305"
"Walker, Christian","572233","2024","479","55","10","4","8",".343",".351"
"Arraez, Luis","650333","2024","637","24","8","3","1",".323",".325"
"Soler, Jorge","624585","2024","493","68","6","0","4",".340",".346"
"Lowe, Nathaniel","663993","2024","486","71","4","1","4",".337",".328"
"Turner, Justin","457759","2024","460","59","13","2","7",".327",".328"
"Rooker Jr., Brent","667670","2024","546","59","5","4","4",".392",".380"
"Raleigh, Cal","663728","2024","546","70","6","4","6",".323",".346"
