player_id,"last_name, first_name",woba,xwOBA (MLB),xwOBA (ARut/MShi/INij),diff_woba_mlb_xwoba,diff_woba_our_xwoba
663538,"Hoerner, Nico",0.313,0.313,0.304,0.0,0.009000000000000008
665489,"Guerrero Jr., Vladimir",0.398,0.408,0.433,-0.009999999999999953,-0.034999999999999976
677951,"Witt Jr., Bobby",0.41,0.407,0.43,0.0030000000000000027,-0.020000000000000018
608070,"Ramírez, José",0.364,0.329,0.36,0.034999999999999976,0.0040000000000000036
543760,"Semien, Marcus",0.306,0.313,0.334,-0.007000000000000006,-0.028000000000000025
680869,"Gelof, Zack",0.276,0.271,0.272,0.0050000000000000044,0.0040000000000000036
681297,"Cowser, Colton",0.331,0.326,0.336,0.0050000000000000044,-0.0050000000000000044
663886,"Stephenson, Tyler",0.339,0.322,0.337,0.017000000000000015,0.0020000000000000018
671218,"Ramos, Heliot",0.339,0.338,0.345,0.0010000000000000009,-0.00599999999999995
676694,"Meyers, Jake",0.285,0.304,0.315,-0.019000000000000017,-0.030000000000000027
660821,"Sánchez, Jesús",0.317,0.343,0.361,-0.026000000000000023,-0.043999999999999984
673548,"Suzuki, Seiya",0.365,0.346,0.346,0.019000000000000017,0.019000000000000017
682985,"Greene, Riley",0.355,0.353,0.384,0.0020000000000000018,-0.029000000000000026
665833,"Cruz, Oneil",0.331,0.34,0.336,-0.009000000000000008,-0.0050000000000000044
663624,"Mountcastle, Ryan",0.316,0.332,0.351,-0.016000000000000014,-0.034999999999999976
664034,"France, Ty",0.296,0.303,0.326,-0.007000000000000006,-0.030000000000000027
663898,"Rodgers, Brendan",0.314,0.295,0.32,0.019000000000000017,-0.006000000000000005
665750,"Taveras, Leody",0.282,0.295,0.301,-0.013000000000000012,-0.019000000000000017
608369,"Seager, Corey",0.365,0.39,0.412,-0.025000000000000022,-0.046999999999999986
666624,"Morel, Christopher",0.28,0.316,0.321,-0.035999999999999976,-0.04099999999999998
643217,"Benintendi, Andrew",0.298,0.303,0.316,-0.0050000000000000044,-0.018000000000000016
641857,"McMahon, Ryan",0.315,0.325,0.349,-0.010000000000000009,-0.033999999999999975
669394,"Burger, Jake",0.325,0.338,0.336,-0.013000000000000012,-0.01100000000000001
605141,"Betts, Mookie",0.371,0.356,0.418,0.015000000000000013,-0.046999999999999986
